Name,Phone Number,Image Links 1,Image Links 2,Image Links 3,Google maps ID,Latitude,Longitude,Adress,Website,,,,,,,,,,,,,,,,,,
A. Meier Treuhand AG,+41 44 202 20 22,https://lh3.googleusercontent.com/p/AF1QipOCocBo9lzU0xUKEb8vC30jll-6pMhHOxpeyT-b=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipP3MNVTzbngj2tK1wPrBe1mSVMVDXt8iSPD3g4E=s680-w680-h510,,ChIJk5VJ3amgmkcR6D_M-Dv3BXg,@47.3727476,8.5404171,"Limmatquai 70, 8001 Zürich, Switzerland",http://www.amth.ch/,,,,,,,,,,,,,,,,,,
ABACONS Treuhand Zürich,+41 43 499 00 60,https://lh5.googleusercontent.com/p/AF1QipOyNCrZM0CpBCI0bfFJx2aZaCYZSTa2GEJSiyqK=w736-h240-k-no,https://lh3.googleusercontent.com/p/AF1QipPXdv_joY-U2seA9PjKEOfdxlaFm1XZbjrQgPKi=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOxSJKi-oYEYbSWhQAzLJ8fRYWr5zJuSfAjM7lJ=s680-w680-h510,ChIJg-QSkPoJkEcRZgcNnz4MXQc,@47.359635,8.5243832,"Waffenplatzstrasse 41, 8002 Zürich, Switzerland",https://www.abacons.ch/,,,,,,,,,,,,,,,,,,
Adlatus Treuhand AG,+41 44 342 55 30,,,,ChIJ4Qd3B04KkEcRmFM1ELgFdIg,@47.3983093,8.504824,"Ottenbergstrasse 61, 8049 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
adminster treuhand zürich gmbh,+41 44 518 86 00,https://lh5.googleusercontent.com/p/AF1QipPAR5sRoE6iccT7ufho8kxvU_BUW-MiqXNy4t-f=w408-h544-k-no,https://lh3.googleusercontent.com/p/AF1QipOA8pnIiqarTFJWrMWAR6An7s25nccuGQi0ivtq=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipMfRwTxf6iFreetj744CBsZjoofdok6Pvt6Y8nK=s680-w680-h510,ChIJT2XkVaqhmkcRbkzBRdpRG0w,@47.3627626,8.5553589,"Forchstrasse 60, 8008 Zürich, Switzerland",http://www.adminster.ch/,,,,,,,,,,,,,,,,,,
Aeberli Treuhand AG,+41 44 265 66 66,https://lh3.googleusercontent.com/p/AF1QipOdJsR5sI9u5g1cgcXgKcXi3m6zHVtsmvtl4c5w=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipPX948-wLjH-wU8uNI_Y9vqPp_1INWhx88x1WBz=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipMk-eEcyhIvkVI0U1m7PNrjtWzCy_6w1Gsvrpz3=s680-w680-h510,ChIJ00geik2nmkcRdWzF2gjUMZ8,@47.3625196,8.5488901,"Zimmergasse 17, 8008 Zürich, Switzerland",http://www.aeberli.ch/,,,,,,,,,,,,,,,,,,
Aerzte Treuhand med AG,+41 44 487 34 10,https://lh3.googleusercontent.com/p/AF1QipPkul4MAG0N0sS1mLDofyKPe4AvCabSD_53v2JH=s680-w680-h510,,,ChIJ8QzZ5IYKkEcR9HM_e6pWVh4,@47.4088006,8.5422639,"Baumackerstrasse 24, 8050 Zürich, Switzerland",https://turicum-treuhand.ch/,,,,,,,,,,,,,,,,,,
"AG für Treuhand, Betriebs- Führung und -Beratung",+41 43 322 11 99,,,,ChIJX6sSGxwKkEcRKB0H_qRcqyc,@47.3720759,8.5241726,"Freyastrasse 14, 8004 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Agram Treuhand AG,+41 43 210 33 82,,,,ChIJ4VUJ1CQKkEcRFUAY6YSxP6w,@47.3785209,8.5083181,"Hardstrasse 4, 8004 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
AGRO-Treuhand Region Zürich AG,+41 52 355 01 10,https://lh3.googleusercontent.com/p/AF1QipPw_xeFoOWoI9b9t0hY6yJjvd_muO9MIQRp3Bhd=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipNayIPQ1lmG-AQ2nNJO4u7JiYc7TLOVHMUZp5ip=s680-w680-h510,,ChIJnRQujAChmkcRdtEyHj--vpk,@47.4011696,8.6006023,"Lagerstrasse 14, 8600 Dübendorf, Switzerland",http://www.atzuerich.ch/,,,,,,,,,,,,,,,,,,
Alfida Treuhand AG,+41 44 491 71 54,,,,ChIJqaC72yQKkEcRSFwgu7TQ1nM,@47.3779925,8.508863,"Badenerstrasse 334, 8004 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
